id.source,id.local,id.global,firstName,lastName,nameAtBirth,dateOfBirth,placeOfBirth,plz,city
dup,452969570583200202,452969570583200202,Dieter,Hansen,Hansen,08.11.2002,Berlin,,
org,482396652082607491,482396652082607491,Egon,Berger,,24.06.1930,,91738,Pfofeld
dup,482396652082607491,482396652082607491,Egon,Berger,,24.06.1930,,91738,Pfofeld
org,494268940542625230,494268940542625230,Theo,Pietsch,Nitsch,02.05.1956,Ibbenbueren,49477,Ibbenbueren
dup,494268940542625230,494268940542625230,Theo,Pietsch,Nitsch,02.05.1956,Ibbenbueren,,
org,524774854689798959,524774854689798959,Jens,Vieth,,13.11.1958,,72202,Nagold
dup,524774854689798959,524774854689798959,Jens,Berens,Vieth,13.11.1958,,72202,Nagold
org,525901168273343868,525901168273343868,Dieter,Fuerst,,14.07.1980,,,
dup,525901168273343868,525901168273343868,Andrea Dieter,Fuerst,,14.07.1980,,,
org,551434848571901624,551434848571901624,Richard,Langner,,17.03.1965,,46045,Oberhausen
dup,551434848571901624,551434848571901624,Richard,Herbert,Langner,17.03.1965,,46045,Oberhausen
org,577024564967984113,577024564967984113,Martin,Boehme,,30.12.1952,,38458,Velpke
dup,577024564967984113,577024564967984113,Martin,Boehme-Meyer,,30.12.1952,,38458,Velpke
org,586992674916092383,586992674916092383,Gerhard,Pingel,Witte,26.01.1958,Landshut,84032,Landshut
dup,586992674916092383,586992674916092383,Gerhard,Pingel,Witte,26.01.1958,Landshut,84032,Landshut
org,671025495875170945,671025495875170945,Emmy,Mielke,Thomas,26.08.1980,Koeln,,
dup,671025495875170945,671025495875170945,Emmy,Schilling-Mielke,Thomas,26.08.1980,Koeln,,
org,713637394097025339,713637394097025339,Max,Jung,,24.04.1987,,65795,Hattersheim
dup,713637394097025339,713637394097025339,Johann Max,Jung,,24.04.1987,,65795,Hattersheim
org,723990628938200252,723990628938200252,Christine,Maier,,04.09.1977,,04279,Leipzig
dup,723990628938200252,723990628938200252,Christine,Luther,Maier,04.09.1977,,04279,Leipzig
org,760604379991422902,760604379991422902,Bernd,Wegmann,Wegmann,30.06.1959,Offenbach,63075,Offenbach
dup,760604379991422902,760604379991422902,Bernd Sandra,Wegmann,Wegmann,30.06.1959,Offenbach,63075,Offenbach
org,775967111061324082,775967111061324082,Rainer,Winkler,,14.02.1948,,18437,Stralsund
dup,775967111061324082,775967111061324082,Rainer,Richter,Winkler,14.02.1948,,18437,Stralsund
org,792606329168285116,792606329168285116,Wilhelm,Esser,Esser,10.03.1972,Much,,
dup,792606329168285116,792606329168285116,Wilhelm,Schwab-Esser,Esser,10.03.1972,Much,,
org,817296872492348804,817296872492348804,Matthias,Weber,,03.06.2005,,45739,Oer-Erkenschwick
dup,817296872492348804,817296872492348804,Matthias,Weber,,03.06.2005,,,
org,884758140050848201,884758140050848201,Inge,Werner,,16.04.1981,,89278,Nersingen
dup,884758140050848201,884758140050848201,Inge,Werner,,16.04.1981,,89278,Nersingen
org,921192361650534524,921192361650534524,Frank,Lauer,,20.03.2007,,46354,Suedlohn
dup,921192361650534524,921192361650534524,Friedrich Frank,Lauer,,20.03.2007,,46354,Suedlohn
org,960598119453704894,960598119453704894,Heike,Lenz,,16.12.2009,,,
dup,960598119453704894,960598119453704894,Herke,Leznz,,16.12.2009,,,
org,971685040067362673,971685040067362673,Walburga,Luedtke,,08.08.1921,,01945,Tettau
dup,971685040067362673,971685040067362673,Cosima Walburga,Luedtke,,08.08.1921,,01945,Tettau
org,971932691087143490,971932691087143490,Peter,Garbe,Hinrichs,15.11.1966,Marktschellenberg,47829,Krefeld
dup,971932691087143490,971932691087143490,Peter,Garbe,Hinrichs,15.11.1966,Marktschellenberg,,
org,998162964206407653,998162964206407653,Willi,Klein,Luther,25.04.2010,Elsenfeld,17498,Weitenhagen
dup,998162964206407653,998162964206407653,Willi Hugo,Klein,Luther,25.04.2010,Elsenfeld,17498,Weitenhagen
org,1034120231917040319,1034120231917040319,Sybille,Breuer,,14.05.1994,,77743,Neuried
dup,1034120231917040319,1034120231917040319,Sybille Elsa,Breuer,,14.05.1994,,77743,Neuried
org,1048097146486241502,1048097146486241502,Torsten,Meyer,,25.10.1966,,27729,Vollersode
dup,1048097146486241502,1048097146486241502,Tonsten,Meyehr,,25.10.1966,,27729,Vollersoed
org,1077509893344217642,1077509893344217642,Susanne,Boettner,,05.07.1979,,48291,Telgte
dup,1077509893344217642,1077509893344217642,Susanne,Boettner,,05.07.1979,,,
org,1108998033360336831,1108998033360336831,Bernhard,Stahl,,15.08.1971,,07907,Tegau
dup,1108998033360336831,1108998033360336831,Bernhard,Stahl,,15.08.1971,,07907,Tegau
org,1166340954638366223,1166340954638366223,Anke,Koch,,27.04.1968,,61191,Karben
dup,1166340954638366223,1166340954638366223,Anke,Koch,,27.04.1968,,61191,Karben
org,1255670610897910437,1255670610897910437,Theo,Krebs,,04.09.1983,,06311,Helbra
dup,1255670610897910437,1255670610897910437,Theo,Krebs-Rehbein,,04.09.1983,,06311,Helbra
org,1261244325890276970,1261244325890276970,Kerstin,Reuter,,05.06.1989,,56112,Lahnstein
dup,1261244325890276970,1261244325890276970,Kerstin,Reuter-Mueller,,05.06.1989,,56112,Lahnstein
org,1267264212585988083,1267264212585988083,Marianne,Diehl,,14.10.1981,,83324,Ruhpolding
dup,1267264212585988083,1267264212585988083,Marienne,Dibehl,,14.10.1981,,83324,Ruhpoldign
org,1292814603759275000,1292814603759275000,Karl-Heinz,Kramer,Kluth,04.11.1970,Remscheid,,
dup,1292814603759275000,1292814603759275000,carl-Heinz,bKramer,Kluth,04.11.1970,Remscheid,,
org,1312914492559898150,1312914492559898150,Peter,Ritter,Ullrich,11.05.1984,Roemerberg,47249,Duisburg
dup,1312914492559898150,1312914492559898150,leter,Rkitter,Ullrich,11.05.1984,Roemerberg,47249,Diusburg
org,1435207075693510275,1435207075693510275,Daniela,Schmid,Walter,06.07.1929,Ruppertsberg,67157,Ruppertsberg
dup,1435207075693510275,1435207075693510275,Danbela,Srchmid,Walter,06.07.1929,Ruppertsberg,67157,Ruppretsberg
org,1456094409830413992,1456094409830413992,Ingrid,Block,,14.02.1944,,,
dup,1456094409830413992,1456094409830413992,Ingrid,Becker,Block,14.02.1944,,,
org,1507016871616465280,1507016871616465280,Anne,Eggers,,11.02.1977,,,
dup,1507016871616465280,1507016871616465280,Anne,Eggers,,11.02.1977,,,
org,1534093244454122248,1534093244454122248,Rolf,Otto,,28.05.1933,,73614,Schorndorf
dup,1534093244454122248,1534093244454122248,Rolf,Mueller-Otto,,28.05.1933,,73614,Schorndorf
org,1541315642498399257,1541315642498399257,Susanne,Schoen,,01.09.1934,,29633,Munster
dup,1541315642498399257,1541315642498399257,Susanne,Schilling,Schoen,01.09.1934,,29633,Munster
org,1601171779965595878,1601171779965595878,Simone,Bender,,04.05.1967,,81371,Muenchen
dup,1601171779965595878,1601171779965595878,Simone,Walther,Bender,04.05.1967,,81371,Muenchen
org,1647425856868863766,1647425856868863766,Anna,Kraemer,Kraemer,03.10.1962,Essen,45309,Essen
dup,1647425856868863766,1647425856868863766,Anna,Herbert-Kraemer,Kraemer,03.10.1962,Essen,45309,Essen
org,1649305054354425434,1649305054354425434,Ursula,Weiss,,05.08.1958,,95336,Mainleus
dup,1649305054354425434,1649305054354425434,Ursula,Schober,Weiss,05.08.1958,,95336,Mainleus
org,1650180777165737005,1650180777165737005,Jacqueline,Kellner,,18.04.1970,,,
dup,1650180777165737005,1650180777165737005,Jacqueline,Kellner-Hartmann,,18.04.1970,,,
org,1664156630105108848,1664156630105108848,Liane,Benz,Moeller,04.07.1980,Zschaitz-Ottewig,49084,Osnabrueck
dup,1664156630105108848,1664156630105108848,Linne,Beynz,Moeller,04.07.1980,Zschaitz-Ottewig,49084,Osanbrueck
org,1686629211244967889,1686629211244967889,Thomas,Lux,,30.05.1961,,53227,Bonn
dup,1686629211244967889,1686629211244967889,Thomas,Lux,,30.05.1961,,53227,Bonn
org,1762488334815246102,1762488334815246102,Anny,Harder,,04.07.1943,,,
dup,1762488334815246102,1762488334815246102,Anny,Muench,Harder,04.07.1943,,,
org,1773198314316450249,1773198314316450249,Petra,Bastian,,14.12.1965,,90471,Nuernberg
dup,1773198314316450249,1773198314316450249,Petrw,Banstian,,14.12.1965,,90471,Nurenberg
org,1783309388916502913,1783309388916502913,Robert,Haupt,Schulte,01.08.1990,Techentin,19399,Techentin
dup,1783309388916502913,1783309388916502913,Robert,Haupt,Schulte,01.08.1990,Techentin,,
org,1847592165695113165,1847592165695113165,Sigrid,Nachtigall,,25.12.1960,,,
dup,1847592165695113165,1847592165695113165,Sigrid,Nachtigall,,25.12.1960,,,
org,1864595857312365323,1864595857312365323,Karin,Hielscher,,11.12.1997,,48161,Muenster
dup,1864595857312365323,1864595857312365323,Karin Heinz,Hielscher,,11.12.1997,,48161,Muenster
org,1996661200194092569,1996661200194092569,Horst,Schmiedel,Thieme,28.05.1996,Koeln,72144,Dusslingen
dup,1996661200194092569,1996661200194092569,Hannelore Horst,Schmiedel,Thieme,28.05.1996,Koeln,72144,Dusslingen
org,1997908451610115139,1997908451610115139,Rosmarie,Pfeiffer,,13.12.1994,,32758,Detmold
dup,1997908451610115139,1997908451610115139,Rosmarie,Pfeiffer,,13.12.1994,,,
org,2101686018221556652,2101686018221556652,Undine,Weiss,,30.10.1981,,26954,Nordenham
dup,2101686018221556652,2101686018221556652,Undine,Weiss-Escher,,30.10.1981,,26954,Nordenham
org,2176364827426601930,2176364827426601930,Anneliese,Loose,,19.03.1963,,94474,Vilshofen
dup,2176364827426601930,2176364827426601930,Anneliese,Loose,,19.03.1963,,94474,Vilshofen
org,2238811867179365803,2238811867179365803,Marianne,Emmerich,,28.09.1980,,51427,Burscheid
dup,2238811867179365803,2238811867179365803,Marianne Irma,Emmerich,,28.09.1980,,51427,Burscheid
org,2256207836763370639,2256207836763370639,Thomas,Schmidt,Erdmann,03.06.1948,Koeln,76887,Oberhausen
dup,2256207836763370639,2256207836763370639,Thomas Georg,Schmidt,Erdmann,03.06.1948,Koeln,76887,Oberhausen
org,2312869327490599049,2312869327490599049,Gerhard,Feldmann,,09.01.1981,,39128,Magdeburg
dup,2312869327490599049,2312869327490599049,Gerhard,Feldmann,,09.01.1981,,,
org,2317234379776112836,2317234379776112836,Thea,Gruner,,23.01.1962,,26802,Moormerland
dup,2317234379776112836,2317234379776112836,Thea,Strauch-Gruner,,23.01.1962,,26802,Moormerland
org,2334288625531962023,2334288625531962023,Henning,Pfennig,,16.07.1972,,92339,Beilngries
dup,2334288625531962023,2334288625531962023,Henning,Pfennig-Fink,,16.07.1972,,92339,Beilngries
org,2463000714450092017,2463000714450092017,Martin,Heim,,02.02.1999,,12355,Berlin
dup,2463000714450092017,2463000714450092017,Martin,Heim,,02.02.1999,,12355,Berlin
org,2465126689949006427,2465126689949006427,Thomas,Schroeder,,16.01.1990,,10367,Berlin
dup,2465126689949006427,2465126689949006427,qhomas,Schroedebr,,16.01.1990,,10367,Belrin
org,2478231554589543331,2478231554589543331,Guenter,Heinze,,12.01.1991,,44652,Herne
dup,2478231554589543331,2478231554589543331,Elisabeth Guenter,Heinze,,12.01.1991,,44652,Herne
org,2617089708333222805,2617089708333222805,Manfred,Zimmermann,,15.12.1936,,41372,Niederkruechten
dup,2617089708333222805,2617089708333222805,Manfred,Keller,Zimmermann,15.12.1936,,41372,Niederkruechten
org,2654351314370119452,2654351314370119452,Karla,Geyer,,16.05.1982,,,
dup,2654351314370119452,2654351314370119452,Karla,Engel,Geyer,16.05.1982,,,
org,2684697521733846152,2684697521733846152,Stefanie,Werner,,11.04.2007,,,
dup,2684697521733846152,2684697521733846152,Stefanie,Werner,,11.04.2007,,,
org,2701346984836775070,2701346984836775070,Toni,Eder,,15.03.1943,,,
dup,2701346984836775070,2701346984836775070,Toni,Eder,,15.03.1943,,,
org,2764327102077450858,2764327102077450858,Stefan,Mueller,,20.02.1943,,,
dup,2764327102077450858,2764327102077450858,Stxfan,Muqeller,,20.02.1943,,,
org,2853610941573673225,2853610941573673225,Petra,Jacob,,29.03.2008,,71672,Ludwigsburg
dup,2853610941573673225,2853610941573673225,Petra,Jacob,,29.03.2008,,71672,Ludwigsburg
org,2892681999065828689,2892681999065828689,Anneliese,Kretschmann,,18.11.1961,,15562,Wernsdorf
dup,2892681999065828689,2892681999065828689,Anneliese Franz,Kretschmann,,18.11.1961,,15562,Wernsdorf
org,2901091184985750739,2901091184985750739,Arndt,Schroth,Stamm,21.12.1961,Westgreussen,99718,Westgreussen
dup,2901091184985750739,2901091184985750739,Arndt,Schroth,Stamm,21.12.1961,Westgreussen,,
org,2932465858831535585,2932465858831535585,Claus,Dohrmann,,09.06.1927,,22763,Hamburg
dup,2932465858831535585,2932465858831535585,Claus,Kretzschmar-Dohrmann,,09.06.1927,,22763,Hamburg
org,3093598173659349938,3093598173659349938,Conny,Kemper,,23.11.1951,,33428,Harsewinkel
dup,3093598173659349938,3093598173659349938,Conny,Kemper,,23.11.1951,,33428,Harsewinkel
org,3105952426089823808,3105952426089823808,Claudia,Mai,Mai,09.02.1960,Velburg,92355,Velburg
dup,3105952426089823808,3105952426089823808,Claudia,Mai,Mai,09.02.1960,Velburg,,
org,3156911752089809119,3156911752089809119,Wolfgang,Braun,,21.05.1965,,34497,Korbach
dup,3156911752089809119,3156911752089809119,Wolfgang,Braun-Vogel,,21.05.1965,,34497,Korbach
org,3196813087117128847,3196813087117128847,Hildegard,Preuss,Richter,11.03.1961,Roedinghausen,52146,Wuerselen
dup,3196813087117128847,3196813087117128847,Hildwgard,Preusss,Richter,11.03.1961,Roedinghausen,52146,Wuereslen
org,3207195524812851485,3207195524812851485,Anneli,Weber,Weber,01.12.1999,Hemmingen,22297,Hamburg
dup,3207195524812851485,3207195524812851485,Anzeli,Webewr,Weber,01.12.1999,Hemmingen,22297,Hambugr
org,3335810115169897840,3335810115169897840,Helga,Lehmann,Weller,05.12.1949,Marl,45770,Marl
dup,3335810115169897840,3335810115169897840,Helga Karl-Heinz,Lehmann,Weller,05.12.1949,Marl,45770,Marl
org,3375271686759141365,3375271686759141365,Burkhard,Voges,,29.01.1944,,91322,Graefenberg
dup,3375271686759141365,3375271686759141365,vurkhard,Vogxes,,29.01.1944,,91322,Graefebnerg
org,3416524252527348827,3416524252527348827,Dirk,Hense,,25.06.1962,,,
dup,3416524252527348827,3416524252527348827,Dirk,Hense,,25.06.1962,,,
org,3422535445836118561,3422535445836118561,Guenter,Heinz,,12.07.1976,,76332,Pfinztal
dup,3422535445836118561,3422535445836118561,Guenler,Hesinz,,12.07.1976,,76332,Pfinztla
org,3428223570583007542,3428223570583007542,Hiltrud,Burkhard,Peter,18.07.1999,Butzbach,40882,Ratingen
dup,3428223570583007542,3428223570583007542,Hiltrud,Burkhard,Peter,18.07.1999,Butzbach,,
org,3440440617505081099,3440440617505081099,Peter,Rickert,,07.03.1965,,22589,Hamburg
dup,3440440617505081099,3440440617505081099,Peter,Rickert,,07.03.1965,,,
org,3444720351959008259,3444720351959008259,Alice,Brand,Brand,26.03.1962,Wernshausen,,
dup,3444720351959008259,3444720351959008259,Bernd Alice,Brand,Brand,26.03.1962,Wernshausen,,
org,3449603579384187900,3449603579384187900,Enrico,Hildebrandt,,11.05.1975,,46325,Borken
dup,3449603579384187900,3449603579384187900,Heiner Enrico,Hildebrandt,,11.05.1975,,46325,Borken
org,3463463843907061621,3463463843907061621,Franz-Josef,Mueller,,11.05.1969,,56566,Neuwied
dup,3463463843907061621,3463463843907061621,Franz-Josef,Mueller-Hartmann,,11.05.1969,,56566,Neuwied
org,3486238675565590455,3486238675565590455,Heinz,Jaekel,,14.09.1995,,,
dup,3486238675565590455,3486238675565590455,Heinz,Jaekel,,14.09.1995,,,
org,3497174474328919018,3497174474328919018,Norbert,Klenk,Albers,09.05.1967,Loeningen,09113,Chemnitz
dup,3497174474328919018,3497174474328919018,Norbert,Schmitt-Klenk,Albers,09.05.1967,Loeningen,09113,Chemnitz
org,3530103717749149359,3530103717749149359,Angela,Fischer,,21.03.1986,,99955,Urleben
dup,3530103717749149359,3530103717749149359,Angela Marc,Fischer,,21.03.1986,,99955,Urleben
org,3642888733669437570,3642888733669437570,Ruth,Lehr,,12.03.1999,,81673,Muenchen
dup,3642888733669437570,3642888733669437570,iuth,Lcehr,,12.03.1999,,81673,Munechen
org,3695017163161517199,3695017163161517199,Kristina,Herbert,,23.01.1950,,,
dup,3695017163161517199,3695017163161517199,Kristina,Herbert,,23.01.1950,,,
org,3731638296873713396,3731638296873713396,Lena,Zimmermann,,04.09.1936,,60431,Hallenberg
dup,3731638296873713396,3731638296873713396,Lena,Obermaier,Zimmermann,04.09.1936,,60431,Hallenberg
org,3743138769230708997,3743138769230708997,Karola,Kunkel,,06.05.1974,,,
dup,3743138769230708997,3743138769230708997,Karola,Kunkel,,06.05.1974,,,
org,3756137918578641491,3756137918578641491,Hanne,Moritz,,18.02.1979,,56727,Reudelsterz
dup,3756137918578641491,3756137918578641491,Hildegard Hanne,Moritz,,18.02.1979,,56727,Reudelsterz
org,3789126826071406972,3789126826071406972,Michael,Maier,,27.10.1938,,50259,Pulheim
dup,3789126826071406972,3789126826071406972,Michael,Maier,,27.10.1938,,,
org,3823215242142331481,3823215242142331481,Sieglinde,Zimmer,,08.10.2006,,67311,Tiefenthal
dup,3823215242142331481,3823215242142331481,Sieglinde,Zimmer,,08.10.2006,,67311,Tiefenthal
org,3961396051244790100,3961396051244790100,Bernd,Neuber,Neuber,16.12.1961,Norderstedt,99427,Weimar
dup,3961396051244790100,3961396051244790100,Werner Bernd,Neuber,Neuber,16.12.1961,Norderstedt,99427,Weimar
org,4004540008713111305,4004540008713111305,Rudolf,Jung,,01.10.1922,,07907,Tegau
dup,4004540008713111305,4004540008713111305,Rudolf,Meissner,Jung,01.10.1922,,07907,Tegau
org,4077656007341948910,4077656007341948910,Erwin,Zuber,,09.01.1940,,93342,Riedenburg
dup,4077656007341948910,4077656007341948910,Erwin,Zuber,,09.01.1940,,,
org,4083962008967332032,4083962008967332032,Else,Pfister,Pfister,30.07.1991,Neuruppin,,
dup,4083962008967332032,4083962008967332032,Else,Hildebrandt,Pfister,30.07.1991,Neuruppin,,
org,4103640632356193181,4103640632356193181,Kurt,Herz,,26.07.1935,,24539,Neumuenster
dup,4103640632356193181,4103640632356193181,Kurt,Herz-Heilmann,,26.07.1935,,24539,Neumuenster
org,4114502368020743349,4114502368020743349,Maria,Vetter,,27.11.1968,,88427,Tiefenbach
dup,4114502368020743349,4114502368020743349,taria,Vletter,,27.11.1968,,88427,Tiefenbahc
org,4158022620567287065,4158022620567287065,Guido,Blume,,24.11.1982,,81543,Muenchen
dup,4158022620567287065,4158022620567287065,Guido,Blume-Schober,,24.11.1982,,81543,Muenchen
org,4169750554419874772,4169750554419874772,Christa,Haag,,17.12.1938,,48691,Vreden
dup,4169750554419874772,4169750554419874772,Christa Uwe,Haag,,17.12.1938,,48691,Vreden
org,4414562019024616691,4414562019024616691,Gerhard,Demmer,,27.05.1956,,13053,Berlin
dup,4414562019024616691,4414562019024616691,Geahard,Deimmer,,27.05.1956,,13053,Belrin
org,4477661778013931284,4477661778013931284,Dorothea,Mueller,Mueller,21.07.1961,Hohenhameln,95683,Ebnath
dup,4477661778013931284,4477661778013931284,Dorothea Wilhelm,Mueller,Mueller,21.07.1961,Hohenhameln,95683,Ebnath
org,4478646308247158690,4478646308247158690,Editha,Hess,,28.05.1959,,02943,Weisswasser
dup,4478646308247158690,4478646308247158690,Editha,Hess,,28.05.1959,,02943,Weisswasser
org,4485416697012439848,4485416697012439848,Martina,Huebner,,13.07.1999,,75245,Neulingen
dup,4485416697012439848,4485416697012439848,Martina,Huebner,,13.07.1999,,75245,Neulingen
org,4490576726570548514,4490576726570548514,Elisabeth,Koch,,08.05.1939,,96129,Strullendorf
dup,4490576726570548514,4490576726570548514,Elisabeth,Koch,,08.05.1939,,,
org,4550026639182089783,4550026639182089783,Michael,Evers,,02.10.1922,,02708,Schoenbach
dup,4550026639182089783,4550026639182089783,Michael,Braun,Evers,02.10.1922,,02708,Schoenbach
org,4613494238726962612,4613494238726962612,Regine,Lehmann,,06.06.1980,,72076,Tuebingen
dup,4613494238726962612,4613494238726962612,Regine Ingrid,Lehmann,,06.06.1980,,72076,Tuebingen
org,4752095062483488592,4752095062483488592,Victor,Schuemann,,25.11.2010,,33611,Bielefeld
dup,4752095062483488592,4752095062483488592,Edith Victor,Schuemann,,25.11.2010,,33611,Bielefeld
org,4792721659765212647,4792721659765212647,Margit,Schubert,,24.08.1975,,88212,Ravensburg
dup,4792721659765212647,4792721659765212647,Margit,Schubert-Schwarz,,24.08.1975,,88212,Ravensburg
org,4836167915590956780,4836167915590956780,Josef,Bosch,,25.11.1964,,91126,Schwabach
dup,4836167915590956780,4836167915590956780,Jfsef,Bosach,,25.11.1964,,91126,Scwhabach
org,4841370393027720869,4841370393027720869,Franz,Voigt,,10.04.1960,,04539,Groitzsch
dup,4841370393027720869,4841370393027720869,Franz Beate,Voigt,,10.04.1960,,04539,Groitzsch
org,4842692426193810604,4842692426193810604,Manfred,Richter,,06.02.1974,,04565,Regis-Breitingen
dup,4842692426193810604,4842692426193810604,Manfred,Richter,,06.02.1974,,,
org,4854911597860926817,4854911597860926817,Peter,Paulus,,06.09.1968,,,
dup,4854911597860926817,4854911597860926817,Petea,Paulous,,06.09.1968,,,
org,4880733263768076790,4880733263768076790,Angelika,Ruf,,27.10.1957,,97355,Wiesenbronn
dup,4880733263768076790,4880733263768076790,Angelika,Ruf-Muench,,27.10.1957,,97355,Wiesenbronn
org,4904584463096329408,4904584463096329408,Hilde,Dohmen,,27.02.1978,,47058,Duisburg
dup,4904584463096329408,4904584463096329408,Hilde,Klein,Dohmen,27.02.1978,,47058,Duisburg
org,4927130345379611337,4927130345379611337,Olena,Bruns,,02.06.1967,,84032,Landshut
dup,4927130345379611337,4927130345379611337,Olena,Bruns,,02.06.1967,,,
org,4945769584734089819,4945769584734089819,Elke,Fleischmann,Fleischmann,03.01.1971,Essen,23866,Nahe
dup,4945769584734089819,4945769584734089819,Elke,Rehbein,Fleischmann,03.01.1971,Essen,23866,Nahe
org,4973332766791089622,4973332766791089622,Claudia,Schell,,15.05.2008,,51065,Koeln
dup,4973332766791089622,4973332766791089622,Claudia,Schell,,15.05.2008,,,
org,4981161103331407002,4981161103331407002,Linda,Klein,,01.10.1978,,12203,Berlin
dup,4981161103331407002,4981161103331407002,Linda,Klein,,01.10.1978,,12203,Berlin
org,5084360324105194778,5084360324105194778,Christoph,Burkhardt,,15.01.2010,,01099,Dresden
dup,5084360324105194778,5084360324105194778,Chrrstoph,Burrkhardt,,15.01.2010,,01099,Drseden
org,5111131275953486819,5111131275953486819,Volker,Lenz,,17.04.1968,,07751,Zoellnitz
dup,5111131275953486819,5111131275953486819,Volker,Lenz-Engel,,17.04.1968,,07751,Zoellnitz
org,5120272633934165980,5120272633934165980,Bernd,Berndt,Kretzschmar,03.01.2010,Berlin,,
dup,5120272633934165980,5120272633934165980,Bernd,Berndt,Kretzschmar,03.01.2010,Berlin,,
org,5184829953663061612,5184829953663061612,Jessica,Mittag,,25.12.1945,,79809,Weilheim
dup,5184829953663061612,5184829953663061612,Jessica,Mittag-Wohlfahrt,,25.12.1945,,79809,Weilheim
org,5244085215901468227,5244085215901468227,Anne-Marie,Loeffler,,27.12.1931,,45476,Essen
dup,5244085215901468227,5244085215901468227,Anne-Marie,Loeffler,,27.12.1931,,,
org,5249393072762042683,5249393072762042683,Jochen,Schrader,,16.07.1958,,31812,Hameln
dup,5249393072762042683,5249393072762042683,yochen,Schradexr,,16.07.1958,,31812,aHmeln
org,5253220030083481311,5253220030083481311,Norbert,Keller,Graf,22.04.1985,Herdwangen-Schoenach,,
dup,5253220030083481311,5253220030083481311,Pia Norbert,Keller,Graf,22.04.1985,Herdwangen-Schoenach,,
org,5294295006446269073,5294295006446269073,Hans,Strauch,,25.07.1915,,04617,Treben
dup,5294295006446269073,5294295006446269073,Hans,Strauch,,25.07.1915,,04617,Treben
org,5388544664581652605,5388544664581652605,Charlotte,Roos,,15.06.1937,,74348,Sachsenheim
dup,5388544664581652605,5388544664581652605,Charootte,Rqoos,,15.06.1937,,74348,Sachsehneim
org,5425756599695525619,5425756599695525619,Sandra,Hagedorn,,13.05.1930,,76684,oestringen
dup,5425756599695525619,5425756599695525619,Sandra,Hagedorn,,13.05.1930,,,
org,5434775294778625326,5434775294778625326,Waltraud,Schmidt,,11.08.1957,,,
dup,5434775294778625326,5434775294778625326,Waltraud,Schmidt,,11.08.1957,,,
org,5476543059273627111,5476543059273627111,Maria,Jost,,23.02.1923,,30559,Hannover
dup,5476543059273627111,5476543059273627111,Maria,Kretzschmar,Jost,23.02.1923,,30559,Hannover
org,5484581851918125268,5484581851918125268,Sophie,Hafner,,25.01.1992,,99869,Westhausen
dup,5484581851918125268,5484581851918125268,Sophie,Stahl,Hafner,25.01.1992,,99869,Westhausen
org,5487690809134133743,5487690809134133743,Karl,Weis,,30.10.1951,,,
dup,5487690809134133743,5487690809134133743,Franz Karl,Weis,,30.10.1951,,,
org,5582751204835477446,5582751204835477446,Monika,Wiese,,02.03.1956,,24329,Rantzau
dup,5582751204835477446,5582751204835477446,Monika,Geyer,Wiese,02.03.1956,,24329,Rantzau
org,5586428996366257134,5586428996366257134,Heidi,Rolle,,11.12.1984,,57299,Burbach
dup,5586428996366257134,5586428996366257134,Heidi,Franke,Rolle,11.12.1984,,57299,Burbach
